,클러스터,하락기간,결과
0,0,1,0.0
1,0,2,-0.0057269542210342745
2,0,3,-0.007886435331230283
3,0,4,-0.009036144578313253
4,0,5,-0.009901543133131666
5,0,6,-0.011057481436628356
6,0,7,-0.011842105263157895
7,0,8,-0.011739594450373533
8,0,9,-0.012294756624138963
9,1,1,0.0
10,1,2,-0.00631578947368421
11,1,3,-0.008641975308641974
12,1,4,-0.00992063492063492
13,1,5,-0.01098901098901099
14,1,6,-0.012195121951219513
15,1,7,-0.01320400458663305
16,1,8,-0.013398133245663775
17,1,9,-0.013932429415818234
18,2,1,0.0
19,2,2,-0.008275877813798457
20,2,3,-0.01105922897958296
21,2,4,-0.012422360248447204
22,2,5,-0.013826276947993817
23,2,6,-0.01450590494226571
24,2,7,-0.01593914198279346
25,2,8,-0.017285110988043036
26,2,9,-0.01991465149359886
