일자,종목명,클러스터,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률
2016년 1월,동화약품,1 ,0 ,8140 ,177 ,46 ,8225 ,1 ,80 ,1 
2016년 1월,KR모터스,0 ,0 ,1305 ,0 ,0 ,385 ,3 ,0 ,0 
2016년 1월,경방,0 ,0 ,180000 ,4190 ,43 ,236250 ,1 ,500 ,0 
2016년 1월,메리츠화재,1 ,0 ,15900 ,1131 ,14 ,13190 ,1 ,380 ,2 
2016년 1월,삼양홀딩스,0 ,0 ,151500 ,327 ,463 ,148290 ,1 ,1500 ,1 
2016년 1월,하이트진로,0 ,0 ,22800 ,295 ,77 ,18628 ,1 ,1000 ,4 
2016년 1월,유한양행,0 ,0 ,272000 ,8788 ,31 ,112029 ,2 ,1750 ,1 
2016년 1월,CJ대한통운,0 ,0 ,185000 ,2510 ,74 ,98141 ,2 ,0 ,0 
2016년 1월,하이트진로홀딩스,0 ,0 ,12900 ,0 ,0 ,20245 ,1 ,450 ,3 
2016년 1월,두산,1 ,0 ,82600 ,3129 ,26 ,108349 ,1 ,4000 ,5 
2016년 1월,성창기업지주,0 ,0 ,32450 ,0 ,0 ,42511 ,1 ,0 ,0 
2016년 1월,대림산업,1 ,0 ,64400 ,0 ,0 ,109537 ,1 ,100 ,0 
2016년 1월,유유제약,0 ,0 ,13350 ,0 ,0 ,10659 ,1 ,180 ,1 
2016년 1월,노루홀딩스,0 ,0 ,23600 ,2283 ,10 ,20859 ,1 ,400 ,2 
2016년 1월,한화손해보험,0 ,0 ,7750 ,142 ,55 ,6558 ,1 ,0 ,0 
2016년 1월,롯데손해보험,0 ,0 ,2985 ,33 ,90 ,3876 ,1 ,0 ,0 
2016년 1월,대원강업,0 ,0 ,4820 ,200 ,24 ,6698 ,1 ,120 ,2 
2016년 1월,조선내화,0 ,0 ,83400 ,12897 ,6 ,136969 ,1 ,4000 ,5 
2016년 1월,대동공업,0 ,0 ,9130 ,237 ,39 ,9488 ,1 ,60 ,1 
2016년 1월,가온전선,1 ,0 ,20300 ,0 ,0 ,63147 ,0 ,600 ,3 
2016년 1월,삼일제약,2 ,0 ,7300 ,0 ,0 ,10075 ,1 ,200 ,3 
2016년 1월,흥국화재,1 ,0 ,4100 ,499 ,8 ,6163 ,1 ,0 ,0 
2016년 1월,CS홀딩스,0 ,0 ,79000 ,6412 ,12 ,165649 ,0 ,0 ,0 
2016년 1월,동아쏘시오홀딩스,0 ,0 ,169000 ,397 ,426 ,104036 ,2 ,1000 ,1 
2016년 1월,천일고속,1 ,0 ,71000 ,3370 ,21 ,32366 ,2 ,0 ,0 
2016년 1월,SK하이닉스,2 ,0 ,30150 ,5842 ,5 ,24775 ,1 ,300 ,1 
2016년 1월,영풍,0 ,0 ,1064000 ,74468 ,14 ,1329356 ,1 ,7500 ,1 
2016년 1월,LS네트웍스,0 ,0 ,3600 ,7 ,514 ,9761 ,0 ,10 ,0 
2016년 1월,유수홀딩스,0 ,0 ,7510 ,0 ,0 ,7336 ,1 ,0 ,0 
2016년 1월,현대건설,1 ,0 ,27650 ,3768 ,7 ,48844 ,1 ,500 ,2 
2016년 1월,이화산업,0 ,0 ,17700 ,2560 ,7 ,39123 ,0 ,0 ,0 
2016년 1월,화천기공,0 ,0 ,53800 ,9700 ,6 ,113144 ,0 ,1500 ,3 
2016년 1월,한화,0 ,0 ,39300 ,0 ,0 ,57774 ,1 ,500 ,1 
2016년 1월,보해양조,0 ,0 ,1910 ,74 ,26 ,965 ,2 ,0 ,0 
2016년 1월,유니온,1 ,0 ,4360 ,254 ,17 ,8351 ,1 ,70 ,2 
2016년 1월,전방,0 ,0 ,59600 ,0 ,0 ,102101 ,1 ,0 ,0 
2016년 1월,페이퍼코리아,0 ,0 ,730 ,0 ,0 ,1245 ,1 ,0 ,0 
2016년 1월,CJ,0 ,0 ,244000 ,7375 ,33 ,108643 ,2 ,950 ,0 
2016년 1월,JW중외제약,1 ,0 ,36350 ,40 ,909 ,12840 ,3 ,125 ,0 
2016년 1월,대한방직,1 ,0 ,63600 ,0 ,0 ,161631 ,0 ,0 ,0 
2016년 1월,만호제강,0 ,0 ,17400 ,2238 ,8 ,54084 ,0 ,1000 ,6 
2016년 1월,LG상사,0 ,0 ,33750 ,0 ,0 ,36809 ,1 ,300 ,1 
2016년 1월,대한제분,0 ,0 ,176000 ,21885 ,8 ,368193 ,0 ,2500 ,1 
2016년 1월,국보,1 ,0 ,19550 ,0 ,0 ,21983 ,1 ,50 ,0 
2016년 1월,금호전기,0 ,0 ,12900 ,0 ,0 ,24735 ,1 ,0 ,0 
2016년 1월,동국제강,1 ,0 ,5410 ,0 ,0 ,24728 ,0 ,0 ,0 
2016년 1월,GS글로벌,0 ,0 ,5350 ,320 ,17 ,11121 ,0 ,125 ,2 
